image_url,caption,is_valid
http://lh6.ggpht.com/-IvRtNLNcG8o/TpFyrudaT6I/AAAAAAAAM6o/_11MuAAKalQ/IMG_3422.JPG?imgmax=800,a very typical bus station,True
http://78.media.tumblr.com/3b133294bdc7c7784b781b45eb9af7be/tumblr_nbirmjpEme1tkk0fco1_500.jpg,sierra looked stunning in this top and this skirt while performing with person at their former university,True
https://thumb1.shutterstock.com/display_pic_with_logo/152074/125938838/stock-photo-interior-design-of-modern-living-room-with-fireplace-in-a-new-house-125938838.jpg,interior design of modern living room with fireplace in a new house,True
https://thumb1.shutterstock.com/display_pic_with_logo/324673/177023534/stock-photo-cybernetic-scene-isolated-on-white-background-sci-fi-robot-arm-made-of-compound-metallic-as-a-177023534.jpg,cybernetic scene isolated on white background .,True
https://prismpub.com/wp-content/uploads/2016/11/Chicago-Riverwalk_graphic_13.jpg,the jetty : different types of plants to establish a variety of ecosystems .,True
https://thumb1.shutterstock.com/display_pic_with_logo/701386/201063638/stock-photo-traditional-ornamental-floral-paisley-bandanna-you-can-use-this-pattern-in-the-design-of-carpet-201063638.jpg,traditional ornamental floral paisley bandanna .,True
https://media.gettyimages.com/photos/bryan-mccabe-of-the-toronto-maple-leafs-skates-against-the-new-jersey-picture-id73480619?k=6&m=73480619&s=612x612&w=0&h=99aa-OK9NQ_tJCllsuA5vifiFfxD-EW13TNYlg9m9D8=,# of the sports team skates against sports team during their game .,True
http://i.dailymail.co.uk/i/pix/2016/08/10/15/371349E500000578-0-image-a-15_1470837871650.jpg,a flight was traveling when the animal got free on tuesday night,True
http://images.gmanews.tv/webpics/2016/11/640_2_2016_11_29_17_19_15.jpg,celebrities start decorating for the christmas season lifestyle,True
http://images.slideplayer.com/2/765769/slides/slide_46.jpg,functions of government : 1 . form a more perfect union,True
https://ep1.pinkbike.org/p4pb6973204/p4pb6973204.jpg,all shots by by person and rider shots can be found on his website .,True
